name,scryfall_uri,released_at,released_year,released_month,released_day,card_count,set_type,group,decade
The Brothers' War,https://scryfall.com/sets/bro,2022-11-18,2022,11,18,0,expansion,2017-2022,2013-2022
Game Night 2022,https://scryfall.com/sets/gn3,2022-10-14,2022,10,14,5,box,2017-2022,2013-2022
Unfinity Sticker Sheets,https://scryfall.com/sets/sunf,2022-10-07,2022,10,7,2,token,2017-2022,2013-2022
"Warhammer 40,000",https://scryfall.com/sets/40k,2022-10-07,2022,10,7,5,commander,2017-2022,2013-2022
"Warhammer 40,000 Tokens",https://scryfall.com/sets/t40k,2022-10-07,2022,10,7,1,token,2017-2022,2013-2022
Unfinity Tokens,https://scryfall.com/sets/tunf,2022-10-07,2022,10,7,0,token,2017-2022,2013-2022
Unfinity,https://scryfall.com/sets/unf,2022-10-07,2022,10,7,34,funny,2017-2022,2013-2022
Regional Championship Qualifiers 2022,https://scryfall.com/sets/prcq,2022-10-01,2022,10,1,3,promo,2017-2022,2013-2022
Dominaria United Commander,https://scryfall.com/sets/dmc,2022-09-09,2022,9,9,6,commander,2017-2022,2013-2022
Dominaria United Tokens,https://scryfall.com/sets/tdmu,2022-09-09,2022,9,9,1,token,2017-2022,2013-2022
Dominaria United,https://scryfall.com/sets/dmu,2022-09-09,2022,9,9,16,expansion,2017-2022,2013-2022
30th Anniversary Promos,https://scryfall.com/sets/p30a,2022-09-02,2022,9,2,3,promo,2017-2022,2013-2022
Summer Vacation Promos 2022,https://scryfall.com/sets/psvc,2022-08-01,2022,8,1,3,promo,2017-2022,2013-2022
Explorer Anthology 1,https://scryfall.com/sets/ea1,2022-07-28,2022,7,28,20,box,2017-2022,2013-2022
Historic Anthology 6,https://scryfall.com/sets/ha6,2022-07-28,2022,7,28,20,box,2017-2022,2013-2022
Store Championships 2022,https://scryfall.com/sets/sch,2022-07-09,2022,7,9,6,promo,2017-2022,2013-2022
Double Masters 2022,https://scryfall.com/sets/2x2,2022-07-08,2022,7,8,579,masters,2017-2022,2013-2022
Double Masters 2022 Tokens,https://scryfall.com/sets/t2x2,2022-07-08,2022,7,8,24,token,2017-2022,2013-2022
Alchemy Horizons: Baldur's Gate,https://scryfall.com/sets/hbg,2022-07-07,2022,7,7,413,alchemy,2017-2022,2013-2022
Love Your LGS 2022,https://scryfall.com/sets/plg22,2022-07-01,2022,7,1,5,promo,2017-2022,2013-2022
Battle for Baldur's Gate Promos,https://scryfall.com/sets/pclb,2022-06-10,2022,6,10,99,promo,2017-2022,2013-2022
Commander Legends: Battle for Baldur's Gate,https://scryfall.com/sets/clb,2022-06-10,2022,6,10,936,draft_innovation,2017-2022,2013-2022
Battle for Baldur's Gate Art Series,https://scryfall.com/sets/aclb,2022-06-10,2022,6,10,81,memorabilia,2017-2022,2013-2022
Battle for Baldur's Gate Tokens,https://scryfall.com/sets/tclb,2022-06-10,2022,6,10,50,token,2017-2022,2013-2022
Alchemy: New Capenna,https://scryfall.com/sets/ysnc,2022-06-02,2022,6,2,30,alchemy,2017-2022,2013-2022
Streets of New Capenna Promos,https://scryfall.com/sets/psnc,2022-04-30,2022,4,30,160,promo,2017-2022,2013-2022
Streets of New Capenna Tokens,https://scryfall.com/sets/tsnc,2022-04-29,2022,4,29,17,token,2017-2022,2013-2022
New Capenna Commander,https://scryfall.com/sets/ncc,2022-04-29,2022,4,29,447,commander,2017-2022,2013-2022
Streets of New Capenna,https://scryfall.com/sets/snc,2022-04-29,2022,4,29,467,expansion,2017-2022,2013-2022
New Capenna Art Series,https://scryfall.com/sets/asnc,2022-04-29,2022,4,29,81,memorabilia,2017-2022,2013-2022
"Heads I Win, Tails You Lose",https://scryfall.com/sets/phed,2022-04-22,2022,4,22,82,commander,2017-2022,2013-2022
New Capenna Commander Tokens,https://scryfall.com/sets/tncc,2022-04-20,2022,4,20,36,token,2017-2022,2013-2022
New Capenna Commander Promos,https://scryfall.com/sets/pncc,2022-04-09,2022,4,9,76,promo,2017-2022,2013-2022
Game Day Promos,https://scryfall.com/sets/gdy,2022-04-08,2022,4,8,6,promo,2017-2022,2013-2022
Alchemy: Kamigawa,https://scryfall.com/sets/yneo,2022-03-17,2022,3,17,30,alchemy,2017-2022,2013-2022
Wizards Play Network 2022,https://scryfall.com/sets/pw22,2022-03-05,2022,3,5,4,promo,2017-2022,2013-2022
Universes Within,https://scryfall.com/sets/slx,2022-03-03,2022,3,3,9,masters,2017-2022,2013-2022
Year of the Tiger 2022,https://scryfall.com/sets/pl22,2022-02-25,2022,2,25,5,promo,2017-2022,2013-2022
Kamigawa: Neon Dynasty Promos,https://scryfall.com/sets/pneo,2022-02-18,2022,2,18,145,promo,2017-2022,2013-2022
Neon Dynasty Commander Tokens,https://scryfall.com/sets/tnec,2022-02-18,2022,2,18,12,token,2017-2022,2013-2022
Neon Dynasty Commander,https://scryfall.com/sets/nec,2022-02-18,2022,2,18,179,commander,2017-2022,2013-2022
Kamigawa: Neon Dynasty Tokens,https://scryfall.com/sets/tneo,2022-02-18,2022,2,18,19,token,2017-2022,2013-2022
Kamigawa: Neon Dynasty,https://scryfall.com/sets/neo,2022-02-18,2022,2,18,512,expansion,2017-2022,2013-2022
Neon Dynasty Art Series,https://scryfall.com/sets/aneo,2022-02-18,2022,2,18,81,memorabilia,2017-2022,2013-2022
Commander Collection: Black,https://scryfall.com/sets/cc2,2022-01-28,2022,1,28,9,arsenal,2017-2022,2013-2022
Innistrad: Double Feature,https://scryfall.com/sets/dbl,2022-01-28,2022,1,28,535,draft_innovation,2017-2022,2013-2022
Judge Gift Cards 2022,https://scryfall.com/sets/p22,2022-01-01,2022,1,1,8,promo,2017-2022,2013-2022
Alchemy: Innistrad,https://scryfall.com/sets/ymid,2021-12-09,2021,12,9,63,alchemy,2017-2022,2013-2022
Innistrad: Crimson Vow Promos,https://scryfall.com/sets/pvow,2021-11-19,2021,11,19,93,promo,2017-2022,2013-2022
Innistrad: Crimson Vow Tokens,https://scryfall.com/sets/tvow,2021-11-19,2021,11,19,21,token,2017-2022,2013-2022
Crimson Vow Commander Tokens,https://scryfall.com/sets/tvoc,2021-11-19,2021,11,19,6,token,2017-2022,2013-2022
Crimson Vow Commander Display Commanders,https://scryfall.com/sets/ovoc,2021-11-19,2021,11,19,2,memorabilia,2017-2022,2013-2022
Innistrad: Crimson Vow Minigames,https://scryfall.com/sets/mvow,2021-11-19,2021,11,19,3,funny,2017-2022,2013-2022
Innistrad: Crimson Vow Substitute Cards,https://scryfall.com/sets/svow,2021-11-19,2021,11,19,9,token,2017-2022,2013-2022
