,name,scryfall_uri,released_at,released_year,released_month,released_day,card_count,set_type,group
0,The Brothers' War,https://scryfall.com/sets/bro,2022-11-18,2022,11,18,0,expansion,2017-2022
9,Dominaria United,https://scryfall.com/sets/dmu,2022-09-09,2022,9,9,16,expansion,2017-2022
27,Streets of New Capenna,https://scryfall.com/sets/snc,2022-04-29,2022,4,29,467,expansion,2017-2022
41,Kamigawa: Neon Dynasty,https://scryfall.com/sets/neo,2022-02-18,2022,2,18,512,expansion,2017-2022
54,Innistrad: Crimson Vow,https://scryfall.com/sets/vow,2021-11-19,2021,11,19,417,expansion,2017-2022
65,Innistrad: Midnight Hunt,https://scryfall.com/sets/mid,2021-09-24,2021,9,24,396,expansion,2017-2022
76,Adventures in the Forgotten Realms,https://scryfall.com/sets/afr,2021-07-23,2021,7,23,422,expansion,2017-2022
91,Strixhaven: School of Mages,https://scryfall.com/sets/stx,2021-04-23,2021,4,23,394,expansion,2017-2022
106,Kaldheim,https://scryfall.com/sets/khm,2021-02-05,2021,2,5,427,expansion,2017-2022
119,Zendikar Rising,https://scryfall.com/sets/znr,2020-09-25,2020,9,25,409,expansion,2017-2022
140,Ikoria: Lair of Behemoths,https://scryfall.com/sets/iko,2020-04-24,2020,4,24,390,expansion,2017-2022
151,Theros Beyond Death,https://scryfall.com/sets/thb,2020-01-24,2020,1,24,358,expansion,2017-2022
162,Throne of Eldraine,https://scryfall.com/sets/eld,2019-10-04,2019,10,4,399,expansion,2017-2022
180,War of the Spark,https://scryfall.com/sets/war,2019-05-03,2019,5,3,312,expansion,2017-2022
186,Ravnica Allegiance,https://scryfall.com/sets/rna,2019-01-25,2019,1,25,273,expansion,2017-2022
200,Guilds of Ravnica,https://scryfall.com/sets/grn,2018-10-05,2018,10,5,273,expansion,2017-2022
224,Dominaria,https://scryfall.com/sets/dom,2018-04-27,2018,4,27,280,expansion,2017-2022
234,Rivals of Ixalan,https://scryfall.com/sets/rix,2018-01-19,2018,1,19,205,expansion,2017-2022
249,Ixalan,https://scryfall.com/sets/xln,2017-09-29,2017,9,29,289,expansion,2017-2022
260,Hour of Devastation,https://scryfall.com/sets/hou,2017-07-14,2017,7,14,209,expansion,2017-2022
267,Amonkhet,https://scryfall.com/sets/akh,2017-04-28,2017,4,28,287,expansion,2017-2022
277,Aether Revolt,https://scryfall.com/sets/aer,2017-01-20,2017,1,20,197,expansion,2017-2022
289,Kaladesh,https://scryfall.com/sets/kld,2016-09-30,2016,9,30,278,expansion,2011-2016
297,Eldritch Moon,https://scryfall.com/sets/emn,2016-07-22,2016,7,22,208,expansion,2011-2016
304,Shadows over Innistrad,https://scryfall.com/sets/soi,2016-04-08,2016,4,8,302,expansion,2011-2016
